날짜,학년,분야,권수
2026-03-01,1,예술,3
2026-03-03,3,역사,2
2026-03-06,2,사회,4
2026-03-07,2,문학,2
2026-03-19,,과학,2
2026-03-09,3,문학,1
2026-03-13,3,사회,2
2026-03-15,1,문학,3
2026-03-15,1,예술,3
2026-03-19,2,예술,2
2026-04-03,3,역사,2
2026-04-12,1,예술,3
2026-04-13,1,예술,2
2026-04-07,2,문학,77
2026-04-13,2,사회,2
2026-04-20,3,문학,1
2026-04-21,2,과학,2
2026-04-26,3,사회,2
2026-04-27,2,과학,5
2026-04-28,1,사회,2
2026-05-02,3,과학,3
2026-05-03,1,문학,3
2026-05-05,2,역사,3
2026-05-07,2,예술,4
2026-05-16,2,과학,3
2026-05-21,1,역사,4
2026-05-23,3,과학,1
2026-05-24,1,문학,3
2026-05-25,3,사회,3
2026-06-02,2,예술,2
2026-06-03,3,과학,2
2026-06-06,2,역사,2
2026-06-07,3,사회,2
2026-06-13,1,과학,4
2026-06-13,3,사회,1
2026-06-14,1,과학,2
2026-06-23,2,문학,3
2026-06-24,1,과학,3
2026-06-24,1,과학,3
